<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<TICKER>
2023-05-13T00:00:00.000000000,26795.01,27045.45,26692.03,26775.28,22814.90421,BTC/USDT
2023-05-14T00:00:00.000000000,26775.27,27200.0,26560.53,26917.62,21594.8036,BTC/USDT
2023-05-15T00:00:00.000000000,26917.61,27663.59,26726.0,27162.14,40430.08333,BTC/USDT
2023-05-16T00:00:00.000000000,27162.15,27296.89,26852.11,27033.84,33270.45451,BTC/USDT
2023-05-17T00:00:00.000000000,27033.85,27500.0,26544.71,27405.61,42958.97785,BTC/USDT
2023-05-18T00:00:00.000000000,27405.62,27485.33,26361.2,26821.28,49198.65143,BTC/USDT
2023-05-19T00:00:00.000000000,26821.28,27183.6,26630.0,26880.26,28754.13544,BTC/USDT
2023-05-20T00:00:00.000000000,26880.26,27150.0,26825.11,27102.43,14434.54718,BTC/USDT
2023-05-21T00:00:00.000000000,27102.42,27277.55,26666.03,26747.78,21347.87279,BTC/USDT
2023-05-22T00:00:00.000000000,26747.78,27099.89,26538.21,26849.27,26458.83828,BTC/USDT
2023-05-23T00:00:00.000000000,26849.28,27495.83,26798.11,27219.61,38700.83858,BTC/USDT
2023-05-24T00:00:00.000000000,27219.61,27219.61,26080.5,26329.01,54393.0657,BTC/USDT
2023-05-25T00:00:00.000000000,26329.0,26631.98,25871.89,26473.79,37435.44895,BTC/USDT
2023-05-26T00:00:00.000000000,26473.8,26932.16,26327.24,26705.92,35061.18713,BTC/USDT
2023-05-27T00:00:00.000000000,26705.93,26895.0,26551.0,26854.27,15095.6867,BTC/USDT
2023-05-28T00:00:00.000000000,26854.28,28261.32,26764.36,28065.0,43916.00855,BTC/USDT
2023-05-29T00:00:00.000000000,28065.01,28447.14,27524.6,27736.4,42385.41945,BTC/USDT
2023-05-30T00:00:00.000000000,27736.39,28038.59,27554.0,27694.4,32686.75371,BTC/USDT
2023-05-31T00:00:00.000000000,27694.39,27835.51,26839.01,27210.35,46588.80573,BTC/USDT
2023-06-01T00:00:00.000000000,27210.36,27350.0,26605.05,26817.93,39217.8088,BTC/USDT
2023-06-02T00:00:00.000000000,26817.93,27300.0,26505.0,27242.59,36380.90269,BTC/USDT
2023-06-03T00:00:00.000000000,27242.59,27333.29,26914.93,27069.22,16595.34117,BTC/USDT
2023-06-04T00:00:00.000000000,27069.22,27455.02,26951.0,27115.21,19258.41049,BTC/USDT
2023-06-05T00:00:00.000000000,27115.2,27129.33,25388.0,25728.2,65805.60305,BTC/USDT
2023-06-06T00:00:00.000000000,25728.2,27355.33,25351.02,27230.08,68392.60438,BTC/USDT
2023-06-07T00:00:00.000000000,27230.07,27391.77,26125.01,26339.34,59619.44364,BTC/USDT
2023-06-08T00:00:00.000000000,26339.34,26810.0,26210.0,26498.61,31075.51083,BTC/USDT
2023-06-09T00:00:00.000000000,26498.62,26783.33,26269.91,26477.81,27934.7097,BTC/USDT
2023-06-10T00:00:00.000000000,26477.8,26533.87,25358.0,25841.21,64944.60108,BTC/USDT
2023-06-11T00:00:00.000000000,25841.22,26206.88,25634.7,25925.55,30014.29595,BTC/USDT
2023-06-12T00:00:00.000000000,25925.54,26106.48,25602.11,25905.19,29900.50893,BTC/USDT
2023-06-13T00:00:00.000000000,25905.2,26433.21,25712.57,25934.25,41065.60853,BTC/USDT
2023-06-14T00:00:00.000000000,25934.24,26098.0,24820.56,25128.6,45077.31608,BTC/USDT
2023-06-15T00:00:00.000000000,25128.6,25759.01,24800.0,25598.49,48664.86063,BTC/USDT
2023-06-16T00:00:00.000000000,25598.49,26518.0,25175.56,26345.0,51596.91662,BTC/USDT
2023-06-17T00:00:00.000000000,26345.01,26839.99,26181.0,26516.99,27842.2195,BTC/USDT
2023-06-18T00:00:00.000000000,26516.99,26700.0,26255.85,26339.97,21538.31022,BTC/USDT
2023-06-19T00:00:00.000000000,26339.98,27068.09,26256.61,26844.35,35872.65974,BTC/USDT
2023-06-20T00:00:00.000000000,26844.35,28402.74,26652.0,28307.99,69666.95525,BTC/USDT
2023-06-21T00:00:00.000000000,28308.0,30800.0,28257.99,29993.89,108926.40412,BTC/USDT
2023-06-22T00:00:00.000000000,29993.89,30500.0,29525.61,29884.92,59054.5646,BTC/USDT
2023-06-23T00:00:00.000000000,29884.92,31431.94,29800.0,30688.5,73931.89635,BTC/USDT
2023-06-24T00:00:00.000000000,30688.51,30800.0,30250.0,30527.43,30513.30135,BTC/USDT
2023-06-25T00:00:00.000000000,30527.44,31046.01,30277.49,30462.66,30223.44801,BTC/USDT
2023-06-26T00:00:00.000000000,30462.67,30666.0,29930.0,30267.99,45180.41489,BTC/USDT
2023-06-27T00:00:00.000000000,30267.99,30994.97,30226.17,30692.44,42699.64157,BTC/USDT
2023-06-28T00:00:00.000000000,30692.44,30709.74,29858.8,30077.41,40463.51937,BTC/USDT
2023-06-29T00:00:00.000000000,30077.4,30843.98,30049.98,30447.31,36330.62903,BTC/USDT
2023-06-30T00:00:00.000000000,30447.31,31282.0,29500.0,30472.0,89419.07618,BTC/USDT
2023-07-01T00:00:00.000000000,30471.99,30661.6,30320.57,30585.9,17501.75075,BTC/USDT
2023-07-02T00:00:00.000000000,30585.9,30791.0,30155.0,30617.03,23286.41019,BTC/USDT
2023-07-03T00:00:00.000000000,30617.02,31380.0,30570.27,31156.2,43761.64311,BTC/USDT
2023-07-04T00:00:00.000000000,31156.2,31350.69,30620.0,30766.51,33206.11943,BTC/USDT
